SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_EYE,TOKYO_LAT,TOKYO_LON,TOKYO_GRADE,TOKYO_WIND,TOKYO_PRES,TOKYO_R50_DIR,TOKYO_R50_LONG,TOKYO_R50_SHORT,TOKYO_R30_DIR,TOKYO_R30_LONG,TOKYO_R30_SHORT,TOKYO_LAND,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,HKO_LAT,HKO_LON,HKO_CAT,HKO_WIND,HKO_PRES,NEWDELHI_LAT,NEWDELHI_LON,NEWDELHI_GRADE,NEWDELHI_WIND,NEWDELHI_PRES,NEWDELHI_CI,NEWDELHI_DP,NEWDELHI_POCI,REUNION_LAT,REUNION_LON,REUNION_TYPE,REUNION_WIND,REUNION_PRES,REUNION_TNUM,REUNION_CI,REUNION_RMW,REUNION_R34_NE,REUNION_R34_SE,REUNION_R34_SW,REUNION_R34_NW,REUNION_R50_NE,REUNION_R50_SE,REUNION_R50_SW,REUNION_R50_NW,REUNION_R64_NE,REUNION_R64_SE,REUNION_R64_SW,REUNION_R64_NW,BOM_LAT,BOM_LON,BOM_TYPE,BOM_WIND,BOM_PRES,BOM_TNUM,BOM_CI,BOM_RMW,BOM_R34_NE,BOM_R34_SE,BOM_R34_SW,BOM_R34_NW,BOM_R50_NE,BOM_R50_SE,BOM_R50_SW,BOM_R50_NW,BOM_R64_NE,BOM_R64_SE,BOM_R64_SW,BOM_R64_NW,BOM_ROCI,BOM_POCI,BOM_EYE,BOM_POS_METHOD,BOM_PRES_METHOD,NADI_LAT,NADI_LON,NADI_CAT,NADI_WIND,NADI_PRES,WELLINGTON_LAT,WELLINGTON_LON,WELLINGTON_WIND,WELLINGTON_PRES,DS824_LAT,DS824_LON,DS824_STAGE,DS824_WIND,DS824_PRES,TD9636_LAT,TD9636_LON,TD9636_STAGE,TD9636_WIND,TD9636_PRES,TD9635_LAT,TD9635_LON,TD9635_WIND,TD9635_PRES,TD9635_ROCI,NEUMANN_LAT,NEUMANN_LON,NEUMANN_CLASS,NEUMANN_WIND,NEUMANN_PRES,MLC_LAT,MLC_LON,MLC_CLASS,MLC_WIND,MLC_PRES,USA_GUST,BOM_GUST,BOM_GUST_PER,REUNION_GUST,REUNION_GUST_PER,USA_SEAHGT,USA_SEARAD_NE,USA_SEARAD_SE,USA_SEARAD_SW,USA_SEARAD_NW,STORM_SPEED,STORM_DIR
2013272N10135,2013,70,WP,MM,FITOW,2013-09-29 06:00:00,TS,10.3,135.0, ,1000,tokyo,main,968,936,_O____________, , , , , , , , ,-5, , , , , , , , , , , , , , , , ,10.3000,135.000,2, ,1000,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,275
2013272N10135,2013,70,WP,MM,FITOW,2013-09-29 09:00:00,TS,10.3351,134.63, , , ,main,926,893,_P____________, , , , , , , , ,-5, , , , , , , , , , , , , , , , ,10.3351,134.630,2, ,1001,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,274
2013272N10135,2013,70,WP,MM,FITOW,2013-09-29 12:00:00,TS,10.35,134.25, ,1002,tokyo,main,895,865,_OO___________, , , , , , , , ,-5, , , , , , , , , , , , , , , , ,10.4000,134.300,2, ,1002,0, , ,0, , ,0,10.2000,134.100,1,25,1004, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,288
2013272N10135,2013,70,WP,MM,FITOW,2013-09-29 15:00:00,TS,10.5508,133.972, , , ,main,868,843,_PP___________, , , , , , , , ,-5, , , , , , , , , , , , , , , , ,10.5324,134.035,2, ,1001,0, , ,0, , , ,10.5875,133.848,1,25,1004, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,318
2013272N10135,2013,70,WP,MM,FITOW,2013-09-29 18:00:00,TS,10.975,133.688, ,1000,tokyo,main,846,830,OOO___________,jtwc_wp,WP222013,11.6000,133.500, ,DB,15,1010,-3, , , , , , , , , , , , ,1002,200,45, ,10.8000,133.800,2, ,1000,0, , ,0, , ,0,11.0000,133.600,1,25,1004, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,331
2013272N10135,2013,70,WP,MM,FITOW,2013-09-29 21:00:00,TS,11.471,133.45, , , ,main,829,822,PPP___________, ,WP222013,11.9300,133.438, ,DB,17,1005,-3, , , , , , , , , , , , ,1002,200,45, ,11.2625,133.535,2, ,1001,0, , ,0, , , ,11.4500,133.370,1,27,1003, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,339
2013272N10135,2013,70,WP,MM,FITOW,2013-09-30 00:00:00,TS,11.9727,133.291, ,1002,tokyo,main,825,819,OOO___________,jtwc_wp,WP222013,12.3000,133.400, ,DB,20,1001,-3, , , , , , , , , , , , ,1002,200,45, ,11.8000,133.300,2, ,1002,0, , ,0, , ,0,11.9000,133.200,1,29,1002, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,347
2013272N10135,2013,70,WP,MM,FITOW,2013-09-30 03:00:00,TS,12.4341,133.229, , , ,main,821,819,PPP___________, ,WP222013,12.7224,133.387, ,DB,20,1004,-3, , , , , , , , , , , , ,1003,195,45, ,12.2724,133.142,2, ,1001,0, , ,0, , , ,12.3074,133.157,1,29,1002, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,350
2013272N10135,2013,70,WP,MM,FITOW,2013-09-30 06:00:00,TS,12.8333,133.133, ,1000,tokyo,main,819,807,OOO___________,jtwc_wp,WP222013,13.1000,133.300, ,DB,20,1007,-3, , , , , , , , , , , , ,1004,190,45, ,12.7000,133.000,2, ,1000,0, , ,0, , ,0,12.7000,133.100,1,29,1002, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,337
2013272N10135,2013,70,WP,MM,FITOW,2013-09-30 09:00:00,TS,13.1775,132.903, , , ,main,810,783,PPP___________, ,WP222013,13.3151,133.037, ,DB,22,1005,-3, , , , , , , , , , , , ,1004,195,45, ,13.0875,132.808,2, ,1000,0, , ,0, , , ,13.1301,132.865,1,31,1001, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,322
