index,Time,LAT,LON,PRES,WND,poci_eps,RMW_eps,DoY,Penv,Poci,RMW
1,2013092912,10.200,134.100,1004,13,0.628,-0.393,272.000,1011.678,1006.295,44.943
0,2013092918,11.000,133.600,1004,13,1.744,0.641,272.000,1011.456,1007.632,123.261
0,2013093000,11.900,133.200,1002,15,-1.506,-0.410,273.000,1011.227,1004.424,44.227
0,2013093006,12.700,133.100,1002,15,-2.337,-0.563,273.000,1011.051,1003.795,38.517
0,2013093012,13.500,132.600,1000,18,-5.122,-0.607,273.000,1010.884,1001.043,37.476
0,2013093018,13.900,132.300,998,18,2.499,0.009,273.000,1010.848,1008.574,57.473
0,2013100100,14.500,131.900,996,20,0.043,0.113,274.000,1010.550,1006.207,64.357
0,2013100106,15.100,131.500,990,23,0.529,0.148,274.000,1010.559,1006.330,59.094
0,2013100112,16.000,131.300,980,28,-2.015,-0.113,274.000,1010.696,1003.213,39.812
0,2013100118,17.000,131.100,980,28,3.154,-0.272,274.000,1011.034,1008.308,30.764
0,2013100200,17.800,130.600,975,30,2.426,0.282,275.000,1011.831,1006.909,49.972
0,2013100206,18.400,130.100,975,30,-0.313,-0.301,275.000,1012.144,1004.062,29.553
0,2013100212,19.000,129.900,975,30,-1.430,-0.405,275.000,1012.495,1002.816,27.321
0,2013100218,19.600,129.800,975,30,-0.917,0.469,275.000,1012.844,1003.203,65.112
0,2013100300,20.100,129.800,975,30,-2.054,0.059,276.000,1012.716,1002.213,44.119
0,2013100306,20.500,129.700,975,30,0.068,0.158,276.000,1012.849,1004.321,46.734
0,2013100312,21.100,129.700,970,33,-1.585,0.210,276.000,1013.107,1002.399,46.372
0,2013100318,21.600,129.800,960,38,1.506,-0.192,276.000,1013.364,1005.104,24.169
0,2013100400,22.200,129.800,955,40,-0.924,-0.179,277.000,1012.923,1002.955,23.174
0,2013100406,22.700,129.600,955,40,-0.910,0.215,277.000,1013.076,1002.968,34.365
0,2013100412,23.300,129.200,945,45,3.953,-0.207,277.000,1013.270,1007.739,16.855
0,2013100418,23.700,128.500,945,45,-1.866,0.113,277.000,1013.340,1001.957,26.032
0,2013100500,24.400,127.700,945,45,-4.032,-0.030,278.000,1013.931,999.529,23.724
0,2013100506,24.700,127.000,945,45,0.942,-0.400,278.000,1014.065,1004.482,14.865
0,2013100512,25.000,125.900,945,45,-5.344,0.324,278.000,1014.211,998.167,34.762
0,2013100518,25.300,124.800,945,45,0.680,-0.432,278.000,1014.401,1004.133,14.518
0,2013100600,25.700,123.800,955,42,2.525,0.078,279.000,1015.612,1005.342,28.800
0,2013100606,26.100,123.000,955,42,0.180,0.022,279.000,1015.902,1002.899,28.619
0,2013100612,26.800,121.800,955,42,0.024,0.424,279.000,1016.447,1002.551,43.140
0,2013100618,27.100,120.200,965,42,-5.274,-0.375,279.000,1016.799,997.333,26.234
0,2013100700,26.900,118.800,995,18,1.428,-0.182,280.000,1016.283,1005.901,48.621
0,2013100706,26.700,117.800,1000,13,1.019,-0.034,280.000,1016.189,1005.903,62.236
